TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"5142265","Digimon Card Game","Battle of Omni","Omnimon Zwart Defeat (Alternate Art)","","BT5-112 SEC","Secret Rare","Near Mint Foil","8.35","","8.3900","7.6100","1","0","7.0200",""
"5344434","Digimon Card Game","Classic Collection","Lillymon (Alternate Art)","","EX1-039 U","Uncommon","Near Mint Foil","2.90","","8.7700","2.7800","1","0","2.6800",""
"4701346","Digimon Card Game","Release Special Booster 1.0","Diaboromon (Alternate Art)","","BT2-082 SR","Super Rare","Near Mint Foil","3.60","","4.9100","3.6000","0","0","2.8000",""
"4778512","Digimon Card Game","Release Special Booster 1.5","RagnaLoardmon","","BT3-019 SR","Super Rare","Near Mint Foil","1.05","","2.1600","0.8500","0","0","0.7600",""
"5730537","Dragon Ball Super CCG","5th Anniversary Set","Broly, Ultimate Agent of Destruction (SCR)","","BT6-125","Secret Rare","Near Mint Foil","29.78","","59.9500","58.5000","0","0","13.9300",""
"4140209","Dragon Ball Super CCG","Assault of the Saiyans","Frost's Deadly Poison","","XD1-10","Starter Rare","Near Mint","1.22","","1.6700","0.3600","2","0","1.3900",""
"4781093","Dragon Ball Super CCG","Battle Evolution Booster","Majin Buu, Revitalizing Absorption","","EB1-15","Super Rare","Near Mint","1.22","","2.3000","0.9900","1","0","2.4800",""
"5082837","Dragon Ball Super CCG","Collector's Selection Vol. 1","Broly // Broly, The Legendary Super Saiyan","","BT1-057","Rare","Near Mint","23.96","","35.4900","34.5000","0","0","40.5200",""
"5082857","Dragon Ball Super CCG","Collector's Selection Vol. 1","Goku Black, Unforeseen Darkness","","P-124","Promo","Near Mint","3.78","","6.2000","4.8900","3","0","3.9100",""
"5082832","Dragon Ball Super CCG","Collector's Selection Vol. 1","Great Ape Son Goku, Saiyan Instincts","","DB1-064","Super Rare","Near Mint","3.13","","16.3100","15.0000","2","0","3.0100",""
"5082873","Dragon Ball Super CCG","Collector's Selection Vol. 1","Janemba // Relentless Speed Janemba","","P-086","Promo","Near Mint","7.10","","7.6900","6.7000","0","0","8.8000",""
"5082862","Dragon Ball Super CCG","Collector's Selection Vol. 1","Super Baby 1, Parasitic Menace","","P-112","Promo","Near Mint","6.81","","5.6800","5.6800","0","0","10.4800",""
"5578825","Dragon Ball Super CCG","Collector's Selection Vol. 2","Android 18, Bionic Blitz","","BT9-099","Promo","Near Mint Foil","5.97","","11.9900","11.0000","0","0","6.8100",""
"5578795","Dragon Ball Super CCG","Collector's Selection Vol. 2","Launch, the Pure-Hearted","","BT12-013","Promo","Near Mint Foil","14.86","","25.3100","24.0000","4","0","7.1800",""
"5585886","Dragon Ball Super CCG","Collector's Selection Vol. 2","Nappa, Demolition Man","","BT9-090","Promo","Near Mint Foil","4.14","","5.0000","3.6900","4","0","5.2500",""
"5578820","Dragon Ball Super CCG","Collector's Selection Vol. 2","Son Goku & Vegeta, Saiyan Synergy","","P-276","Promo","Near Mint Foil","5.90","","9.0000","9.0000","0","0","5.7800",""
"5578790","Dragon Ball Super CCG","Collector's Selection Vol. 2","Son Goku, Nimbus Master","","DB3-003","Promo","Near Mint Foil","8.10","","14.9900","14.9900","2","0","4.4100",""
